2026-03-02 00:01:45,922 INFO  [nio-9101-exec-4] [1772380905900] money : ====================
2026-03-02 00:01:45,930 INFO  [nio-9101-exec-4] [1772380905900] money : GET /money-pos/auth/own
2026-03-02 00:01:45,930 INFO  [nio-9101-exec-4] [1772380905900] money : WebRequestContext(requestId=1772380905900, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:01:45,930 INFO  [nio-9101-exec-4] [1772380905900] money : > 127.0.0.1
2026-03-02 00:01:45,930 INFO  [nio-9101-exec-4] [1772380905900] money : body: -
2026-03-02 00:01:45,940 INFO  [nio-9101-exec-4] [1772380905900] money : spend time: 18ms
2026-03-02 00:01:48,165 INFO  [nio-9101-exec-6] [1772380908133] money : ====================
2026-03-02 00:01:48,165 INFO  [nio-9101-exec-6] [1772380908133] money : GET /money-pos/home/count
2026-03-02 00:01:48,166 INFO  [nio-9101-exec-6] [1772380908133] money : WebRequestContext(requestId=1772380908133, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:01:48,166 INFO  [nio-9101-exec-6] [1772380908133] money : > 127.0.0.1
2026-03-02 00:01:48,166 INFO  [nio-9101-exec-6] [1772380908133] money : body: -
2026-03-02 00:01:48,228 INFO  [nio-9101-exec-6] [1772380908133] money : spend time: 63ms
2026-03-02 00:08:58,837 INFO  [nio-9101-exec-8] [1772381338819] money : ====================
2026-03-02 00:08:58,837 INFO  [nio-9101-exec-8] [1772381338819] money : GET /money-pos/auth/own
2026-03-02 00:08:58,837 INFO  [nio-9101-exec-8] [1772381338819] money : WebRequestContext(requestId=1772381338819, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:08:58,837 INFO  [nio-9101-exec-8] [1772381338819] money : > 127.0.0.1
2026-03-02 00:08:58,837 INFO  [nio-9101-exec-8] [1772381338819] money : body: -
2026-03-02 00:08:58,850 INFO  [nio-9101-exec-8] [1772381338819] money : spend time: 13ms
2026-03-02 00:09:01,305 INFO  [nio-9101-exec-3] [1772381341267] money : ====================
2026-03-02 00:09:01,305 INFO  [nio-9101-exec-3] [1772381341267] money : GET /money-pos/gms/brand/select
2026-03-02 00:09:01,305 INFO  [nio-9101-exec-3] [1772381341267] money : WebRequestContext(requestId=1772381341267, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:09:01,305 INFO  [nio-9101-exec-3] [1772381341267] money : > 127.0.0.1
2026-03-02 00:09:01,305 INFO  [nio-9101-exec-3] [1772381341267] money : body: -
2026-03-02 00:09:01,310 INFO  [io-9101-exec-10] [1772381341267] money : ====================
2026-03-02 00:09:01,310 INFO  [io-9101-exec-10] [1772381341267] money : GET /money-pos/gms/goodsCategory/tree
2026-03-02 00:09:01,310 INFO  [io-9101-exec-10] [1772381341267] money : WebRequestContext(requestId=1772381341267, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:09:01,310 INFO  [io-9101-exec-10] [1772381341267] money : > 127.0.0.1
2026-03-02 00:09:01,310 INFO  [io-9101-exec-10] [1772381341267] money : body: -
2026-03-02 00:09:01,310 INFO  [nio-9101-exec-3] [1772381341267] money : spend time: 5ms
2026-03-02 00:09:01,315 INFO  [io-9101-exec-10] [1772381341267] money : spend time: 5ms
2026-03-02 00:09:01,341 INFO  [nio-9101-exec-1] [1772381341315] money : ====================
2026-03-02 00:09:01,341 INFO  [nio-9101-exec-1] [1772381341315] money : GET /money-pos/gms/goodsCategory/select
2026-03-02 00:09:01,341 INFO  [nio-9101-exec-1] [1772381341315] money : WebRequestContext(requestId=1772381341315, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:09:01,342 INFO  [nio-9101-exec-1] [1772381341315] money : > 127.0.0.1
2026-03-02 00:09:01,342 INFO  [nio-9101-exec-1] [1772381341315] money : body: -
2026-03-02 00:09:01,346 INFO  [nio-9101-exec-1] [1772381341315] money : spend time: 5ms
2026-03-02 00:09:01,384 INFO  [nio-9101-exec-2] [1772381341355] money : ====================
2026-03-02 00:09:01,384 INFO  [nio-9101-exec-2] [1772381341355] money : GET /money-pos/dict/detail?dict=goodsStatus
2026-03-02 00:09:01,384 INFO  [nio-9101-exec-2] [1772381341355] money : WebRequestContext(requestId=1772381341355, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:09:01,384 INFO  [nio-9101-exec-2] [1772381341355] money : > 127.0.0.1
2026-03-02 00:09:01,384 INFO  [nio-9101-exec-2] [1772381341355] money : body: -
2026-03-02 00:09:01,390 INFO  [nio-9101-exec-2] [1772381341355] money : spend time: 6ms
2026-03-02 00:09:01,422 INFO  [nio-9101-exec-9] [1772381341403] money : ====================
2026-03-02 00:09:01,422 INFO  [nio-9101-exec-9] [1772381341403] money : GET /money-pos/dict/detail?dict=memberType
2026-03-02 00:09:01,422 INFO  [nio-9101-exec-9] [1772381341403] money : WebRequestContext(requestId=1772381341403, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:09:01,422 INFO  [nio-9101-exec-9] [1772381341403] money : > 127.0.0.1
2026-03-02 00:09:01,422 INFO  [nio-9101-exec-9] [1772381341403] money : body: -
2026-03-02 00:09:01,429 INFO  [nio-9101-exec-9] [1772381341403] money : spend time: 7ms
2026-03-02 00:09:01,461 INFO  [nio-9101-exec-4] [1772381341439] money : ====================
2026-03-02 00:09:01,461 INFO  [nio-9101-exec-4] [1772381341439] money : GET /money-pos/gms/goods?page=1&size=10
2026-03-02 00:09:01,461 INFO  [nio-9101-exec-4] [1772381341439] money : WebRequestContext(requestId=1772381341439, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:09:01,461 INFO  [nio-9101-exec-4] [1772381341439] money : > 127.0.0.1
2026-03-02 00:09:01,461 INFO  [nio-9101-exec-4] [1772381341439] money : body: -
2026-03-02 00:09:01,472 INFO  [nio-9101-exec-4] [1772381341439] money : spend time: 11ms
2026-03-02 00:16:50,528 INFO  [nio-9101-exec-7] [1772381810502] money : ====================
2026-03-02 00:16:50,528 INFO  [nio-9101-exec-7] [1772381810502] money : GET /money-pos/auth/router
2026-03-02 00:16:50,528 INFO  [nio-9101-exec-7] [1772381810502] money : WebRequestContext(requestId=1772381810502, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:50,528 INFO  [nio-9101-exec-7] [1772381810502] money : > 127.0.0.1
2026-03-02 00:16:50,528 INFO  [nio-9101-exec-7] [1772381810502] money : body: -
2026-03-02 00:16:50,540 INFO  [nio-9101-exec-7] [1772381810502] money : spend time: 12ms
2026-03-02 00:16:50,570 INFO  [nio-9101-exec-8] [1772381810547] money : ====================
2026-03-02 00:16:50,570 INFO  [nio-9101-exec-8] [1772381810547] money : GET /money-pos/auth/own
2026-03-02 00:16:50,570 INFO  [nio-9101-exec-8] [1772381810547] money : WebRequestContext(requestId=1772381810547, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:50,570 INFO  [nio-9101-exec-8] [1772381810547] money : > 127.0.0.1
2026-03-02 00:16:50,570 INFO  [nio-9101-exec-8] [1772381810547] money : body: -
2026-03-02 00:16:50,584 INFO  [nio-9101-exec-8] [1772381810547] money : spend time: 14ms
2026-03-02 00:16:50,990 INFO  [nio-9101-exec-3] [1772381810953] money : ====================
2026-03-02 00:16:50,990 INFO  [io-9101-exec-10] [1772381810953] money : ====================
2026-03-02 00:16:50,990 INFO  [io-9101-exec-10] [1772381810953] money : GET /money-pos/gms/goodsCategory/tree
2026-03-02 00:16:50,990 INFO  [nio-9101-exec-3] [1772381810953] money : GET /money-pos/gms/brand/select
2026-03-02 00:16:50,990 INFO  [io-9101-exec-10] [1772381810953] money : WebRequestContext(requestId=1772381810953, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:50,990 INFO  [nio-9101-exec-3] [1772381810953] money : WebRequestContext(requestId=1772381810953, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:50,990 INFO  [io-9101-exec-10] [1772381810953] money : > 127.0.0.1
2026-03-02 00:16:50,990 INFO  [nio-9101-exec-3] [1772381810953] money : > 127.0.0.1
2026-03-02 00:16:50,990 INFO  [nio-9101-exec-3] [1772381810953] money : body: -
2026-03-02 00:16:50,990 INFO  [io-9101-exec-10] [1772381810953] money : body: -
2026-03-02 00:16:50,994 INFO  [nio-9101-exec-3] [1772381810953] money : spend time: 4ms
2026-03-02 00:16:50,996 INFO  [io-9101-exec-10] [1772381810953] money : spend time: 4ms
2026-03-02 00:16:51,055 INFO  [nio-9101-exec-1] [1772381811014] money : ====================
2026-03-02 00:16:51,055 INFO  [nio-9101-exec-1] [1772381811014] money : GET /money-pos/gms/goodsCategory/select
2026-03-02 00:16:51,055 INFO  [nio-9101-exec-1] [1772381811014] money : WebRequestContext(requestId=1772381811014, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:51,055 INFO  [nio-9101-exec-1] [1772381811014] money : > 127.0.0.1
2026-03-02 00:16:51,055 INFO  [nio-9101-exec-1] [1772381811014] money : body: -
2026-03-02 00:16:51,058 INFO  [nio-9101-exec-1] [1772381811014] money : spend time: 4ms
2026-03-02 00:16:51,092 INFO  [nio-9101-exec-2] [1772381811066] money : ====================
2026-03-02 00:16:51,092 INFO  [nio-9101-exec-2] [1772381811066] money : GET /money-pos/dict/detail?dict=goodsStatus
2026-03-02 00:16:51,092 INFO  [nio-9101-exec-2] [1772381811066] money : WebRequestContext(requestId=1772381811066, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:51,093 INFO  [nio-9101-exec-2] [1772381811066] money : > 127.0.0.1
2026-03-02 00:16:51,093 INFO  [nio-9101-exec-2] [1772381811066] money : body: -
2026-03-02 00:16:51,097 INFO  [nio-9101-exec-2] [1772381811066] money : spend time: 5ms
2026-03-02 00:16:51,127 INFO  [nio-9101-exec-9] [1772381811108] money : ====================
2026-03-02 00:16:51,127 INFO  [nio-9101-exec-9] [1772381811108] money : GET /money-pos/dict/detail?dict=memberType
2026-03-02 00:16:51,127 INFO  [nio-9101-exec-9] [1772381811108] money : WebRequestContext(requestId=1772381811108, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:51,127 INFO  [nio-9101-exec-9] [1772381811108] money : > 127.0.0.1
2026-03-02 00:16:51,127 INFO  [nio-9101-exec-9] [1772381811108] money : body: -
2026-03-02 00:16:51,133 INFO  [nio-9101-exec-9] [1772381811108] money : spend time: 6ms
2026-03-02 00:16:51,156 INFO  [nio-9101-exec-4] [1772381811141] money : ====================
2026-03-02 00:16:51,156 INFO  [nio-9101-exec-4] [1772381811141] money : GET /money-pos/gms/goods?page=1&size=10
2026-03-02 00:16:51,156 INFO  [nio-9101-exec-4] [1772381811141] money : WebRequestContext(requestId=1772381811141, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:51,157 INFO  [nio-9101-exec-4] [1772381811141] money : > 127.0.0.1
2026-03-02 00:16:51,157 INFO  [nio-9101-exec-4] [1772381811141] money : body: -
2026-03-02 00:16:51,165 INFO  [nio-9101-exec-4] [1772381811141] money : spend time: 9ms
2026-03-02 00:16:59,360 INFO  [nio-9101-exec-5] [1772381819344] money : ====================
2026-03-02 00:16:59,360 INFO  [nio-9101-exec-5] [1772381819344] money : GET /money-pos/auth/router
2026-03-02 00:16:59,360 INFO  [nio-9101-exec-5] [1772381819344] money : WebRequestContext(requestId=1772381819344, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:59,360 INFO  [nio-9101-exec-5] [1772381819344] money : > 127.0.0.1
2026-03-02 00:16:59,360 INFO  [nio-9101-exec-5] [1772381819344] money : body: -
2026-03-02 00:16:59,369 INFO  [nio-9101-exec-5] [1772381819344] money : spend time: 9ms
2026-03-02 00:16:59,392 INFO  [nio-9101-exec-6] [1772381819376] money : ====================
2026-03-02 00:16:59,392 INFO  [nio-9101-exec-6] [1772381819376] money : GET /money-pos/auth/own
2026-03-02 00:16:59,392 INFO  [nio-9101-exec-6] [1772381819376] money : WebRequestContext(requestId=1772381819376, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:59,392 INFO  [nio-9101-exec-6] [1772381819376] money : > 127.0.0.1
2026-03-02 00:16:59,392 INFO  [nio-9101-exec-6] [1772381819376] money : body: -
2026-03-02 00:16:59,404 INFO  [nio-9101-exec-6] [1772381819376] money : spend time: 12ms
2026-03-02 00:16:59,715 INFO  [nio-9101-exec-7] [1772381819680] money : ====================
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-7] [1772381819680] money : GET /money-pos/gms/brand/select
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-7] [1772381819680] money : WebRequestContext(requestId=1772381819680, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-8] [1772381819680] money : ====================
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-7] [1772381819680] money : > 127.0.0.1
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-8] [1772381819680] money : GET /money-pos/gms/goodsCategory/tree
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-7] [1772381819680] money : body: -
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-8] [1772381819680] money : WebRequestContext(requestId=1772381819680, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-8] [1772381819680] money : > 127.0.0.1
2026-03-02 00:16:59,716 INFO  [nio-9101-exec-8] [1772381819680] money : body: -
2026-03-02 00:16:59,720 INFO  [nio-9101-exec-7] [1772381819680] money : spend time: 5ms
2026-03-02 00:16:59,720 INFO  [nio-9101-exec-8] [1772381819680] money : spend time: 4ms
2026-03-02 00:16:59,756 INFO  [nio-9101-exec-3] [1772381819731] money : ====================
2026-03-02 00:16:59,756 INFO  [nio-9101-exec-3] [1772381819731] money : GET /money-pos/gms/goodsCategory/select
2026-03-02 00:16:59,756 INFO  [nio-9101-exec-3] [1772381819731] money : WebRequestContext(requestId=1772381819731, lang=zh-cn, timezone=GMT+08:00)
2026-03-02 00:16:59,757 INFO  [nio-9101-exec-3] [1772381819731] money : > 127.0.0.1
2026-03-02 00:16:59,757 INFO  [nio-9101-exec-3] [1772381819731] money : body: -
