2026-03-07 00:01:49,449 INFO  [nio-9101-exec-2] [1772812908661] money : ====================
2026-03-07 00:01:49,458 INFO  [nio-9101-exec-2] [1772812908661] money : GET /money-pos/auth/router
2026-03-07 00:01:49,458 INFO  [nio-9101-exec-2] [1772812908661] money : WebRequestContext(requestId=1772812908661, lang=zh-cn, timezone=GMT+08:00)
2026-03-07 00:01:49,458 INFO  [nio-9101-exec-2] [1772812908661] money : > 127.0.0.1
2026-03-07 00:01:49,460 INFO  [nio-9101-exec-2] [1772812908661] money : body: -
2026-03-07 00:01:49,508 INFO  [nio-9101-exec-2] [1772812908661] money : spend time: 59ms
2026-03-07 00:01:49,616 INFO  [nio-9101-exec-3] [1772812909584] money : ====================
2026-03-07 00:01:49,617 INFO  [nio-9101-exec-3] [1772812909584] money : GET /money-pos/auth/own
2026-03-07 00:01:49,617 INFO  [nio-9101-exec-3] [1772812909584] money : WebRequestContext(requestId=1772812909584, lang=zh-cn, timezone=GMT+08:00)
2026-03-07 00:01:49,617 INFO  [nio-9101-exec-3] [1772812909584] money : > 127.0.0.1
2026-03-07 00:01:49,618 INFO  [nio-9101-exec-3] [1772812909584] money : body: -
2026-03-07 00:01:49,638 INFO  [nio-9101-exec-3] [1772812909584] money : spend time: 22ms
2026-03-07 00:01:50,077 INFO  [nio-9101-exec-4] [1772812909912] money : ====================
2026-03-07 00:01:50,077 INFO  [nio-9101-exec-4] [1772812909912] money : GET /money-pos/dict?page=1&size=10
2026-03-07 00:01:50,077 INFO  [nio-9101-exec-4] [1772812909912] money : WebRequestContext(requestId=1772812909912, lang=zh-cn, timezone=GMT+08:00)
2026-03-07 00:01:50,077 INFO  [nio-9101-exec-4] [1772812909912] money : > 127.0.0.1
2026-03-07 00:01:50,078 INFO  [nio-9101-exec-4] [1772812909912] money : body: -
2026-03-07 00:01:50,107 INFO  [nio-9101-exec-4] [1772812909912] money : spend time: 30ms
2026-03-07 00:01:52,987 INFO  [nio-9101-exec-5] [1772812912958] money : ====================
2026-03-07 00:01:52,987 INFO  [nio-9101-exec-5] [1772812912958] money : GET /money-pos/auth/own
2026-03-07 00:01:52,988 INFO  [nio-9101-exec-5] [1772812912958] money : WebRequestContext(requestId=1772812912958, lang=zh-cn, timezone=GMT+08:00)
2026-03-07 00:01:52,988 INFO  [nio-9101-exec-5] [1772812912958] money : > 127.0.0.1
2026-03-07 00:01:52,988 INFO  [nio-9101-exec-5] [1772812912958] money : body: -
2026-03-07 00:01:53,007 INFO  [nio-9101-exec-5] [1772812912958] money : spend time: 20ms
2026-03-07 00:01:53,177 INFO  [nio-9101-exec-6] [1772812913142] money : ====================
2026-03-07 00:01:53,177 INFO  [nio-9101-exec-6] [1772812913142] money : GET /money-pos/gms/brand/select
